Date,City,Temperature,Humidity,Pressure,Wind Speed
2022-07-04,Kolkata,31.87,64,1015,4.54
2022-07-05,Mumbai,15.7,41,1021,3.64
2022-07-06,Delhi,31.26,69,1025,3.37
2022-07-07,Bangalore,26.72,51,1022,4.67
2022-07-08,Chennai,17.86,43,1023,1.51
2022-07-09,Kolkata,15.31,56,1023,9.98
2022-07-10,Mumbai,18.67,49,1019,4.16
2022-07-11,Delhi,15.63,90,1000,1.25
2022-07-12,Bangalore,28.36,77,1017,9.56
2022-07-13,Chennai,28.74,89,1023,1.45
2022-07-14,Kolkata,21.47,55,1005,5.66
2022-07-15,Mumbai,19.03,57,1016,7.5
2022-07-16,Delhi,18.93,43,1022,6.67
2022-07-17,Bangalore,22.12,52,1017,2.7
2022-07-18,Chennai,33.01,46,1011,7.09
2022-07-19,Kolkata,36.96,87,1005,9.34
2022-07-20,Mumbai,26.32,41,1022,3.97
2022-07-21,Delhi,27.56,84,1014,8.02
2022-07-22,Bangalore,37.45,50,1017,8.62
2022-07-23,Chennai,28.0,49,1011,3.68
2022-07-24,Kolkata,33.03,55,1016,6.18
2022-07-25,Mumbai,19.53,48,1007,5.16
2022-07-26,Delhi,25.61,78,1015,7.9
2022-07-27,Bangalore,24.91,88,1018,3.23
2022-07-28,Chennai,39.97,69,1022,2.18
2022-07-29,Kolkata,30.73,89,1010,3.12
2022-07-30,Mumbai,22.33,59,1006,7.57
2022-07-31,Delhi,29.13,69,1009,7.03
2022-08-01,Bangalore,16.18,44,1021,7.64
2022-08-02,Chennai,31.02,71,1013,2.6
2022-08-03,Kolkata,24.22,47,1015,8.45
2022-08-04,Mumbai,27.82,46,1011,1.8
2022-08-05,Delhi,19.45,88,1002,7.66
2022-08-06,Bangalore,32.34,48,1014,8.81
2022-08-07,Chennai,18.46,70,1001,8.51
2022-08-08,Kolkata,24.37,73,1004,3.17
2022-08-09,Mumbai,25.91,53,1005,5.09
2022-08-10,Delhi,34.38,70,1018,0.84
2022-08-11,Bangalore,16.96,45,1000,5.58
2022-08-12,Chennai,22.16,40,1017,9.0
2022-08-13,Kolkata,38.6,57,1009,3.55
2022-08-14,Mumbai,25.8,46,1025,4.09
2022-08-15,Delhi,21.79,69,1024,7.3
2022-08-16,Bangalore,37.54,88,1011,5.82
2022-08-17,Chennai,28.16,80,1023,0.63
2022-08-18,Kolkata,39.57,82,1010,5.59
2022-08-19,Mumbai,21.21,88,1020,1.61
2022-08-20,Delhi,38.21,47,1021,6.38
2022-08-21,Bangalore,37.19,79,1002,9.68
2022-08-22,Chennai,24.91,66,1024,0.95
2022-08-23,Kolkata,21.24,63,1007,3.19
2022-08-24,Mumbai,25.55,65,1009,4.69
2022-08-25,Delhi,22.49,71,1003,4.1
2022-08-26,Bangalore,36.28,89,1025,8.67
2022-08-27,Chennai,30.11,71,1019,0.57
2022-08-28,Kolkata,32.81,86,1001,5.88
2022-08-29,Mumbai,21.58,73,1005,8.38
2022-08-30,Delhi,35.71,67,1001,4.34
2022-08-31,Bangalore,38.79,68,1015,2.86
2022-09-01,Chennai,32.82,90,1022,3.58
2022-09-02,Kolkata,15.57,66,1016,4.28
2022-09-03,Mumbai,32.99,81,1007,4.17
2022-09-04,Delhi,19.44,46,1024,9.05
2022-09-05,Bangalore,24.9,41,1017,8.48
2022-09-06,Chennai,28.44,69,1011,7.99
2022-09-07,Kolkata,34.19,70,1007,1.39
2022-09-08,Mumbai,36.45,52,1002,7.71
2022-09-09,Delhi,28.96,87,1010,5.68
2022-09-10,Bangalore,30.31,62,1015,0.91
2022-09-11,Chennai,32.96,61,1025,2.26
2022-09-12,Kolkata,36.08,72,1002,3.92
2022-09-13,Mumbai,22.8,50,1018,7.48
2022-09-14,Delhi,26.3,77,1020,8.53
2022-09-15,Bangalore,30.32,52,1021,9.54
2022-09-16,Chennai,16.87,71,1023,4.34
2022-09-17,Kolkata,34.35,59,1008,1.44
2022-09-18,Mumbai,39.12,84,1004,6.12
2022-09-19,Delhi,37.92,61,1017,5.44
2022-09-20,Bangalore,31.57,58,1023,5.48
2022-09-21,Chennai,36.01,68,1023,3.25
2022-09-22,Kolkata,15.6,60,1022,9.18
2022-09-23,Mumbai,28.82,83,1001,8.72
2022-09-24,Delhi,27.61,66,1011,2.62
2022-09-25,Bangalore,34.69,79,1011,0.88
2022-09-26,Chennai,34.9,81,1013,2.19
2022-09-27,Kolkata,26.7,89,1023,2.5
2022-09-28,Mumbai,35.43,52,1002,5.88
2022-09-29,Delhi,26.15,59,1011,3.09
2022-09-30,Bangalore,25.43,66,1002,5.02
2022-10-01,Chennai,28.47,89,1014,7.27
2022-10-02,Kolkata,39.87,43,1019,1.63
2022-10-03,Mumbai,32.92,57,1012,0.99
2022-10-04,Delhi,20.06,82,1011,5.14
2022-10-05,Bangalore,31.96,41,1012,3.45
2022-10-06,Chennai,20.73,54,1017,2.1
2022-10-07,Kolkata,28.76,83,1009,3.94
2022-10-08,Mumbai,15.49,60,1004,5.69
2022-10-09,Delhi,18.99,75,1010,8.64
2022-10-10,Bangalore,36.33,75,1008,3.69
2022-10-11,Chennai,18.01,80,1008,1.03
2022-10-12,Kolkata,26.86,47,1020,3.3
2022-10-13,Mumbai,24.01,72,1004,1.89
2022-10-14,Delhi,35.13,90,1015,5.79
2022-10-15,Bangalore,31.52,89,1007,2.28
2022-10-16,Chennai,17.64,54,1003,9.59
2022-10-17,Kolkata,38.46,87,1011,1.66
2022-10-18,Mumbai,37.23,42,1024,0.69
2022-10-19,Delhi,30.23,57,1008,7.84
2022-10-20,Bangalore,18.63,43,1025,6.54
2022-10-21,Chennai,28.15,86,1010,7.27
2022-10-22,Kolkata,23.25,87,1023,2.13
2022-10-23,Mumbai,22.13,79,1023,3.38
2022-10-24,Delhi,19.82,80,1020,1.64
2022-10-25,Bangalore,31.38,55,1011,7.84
2022-10-26,Chennai,30.66,42,1015,0.67
2022-10-27,Kolkata,28.57,49,1003,2.58
2022-10-28,Mumbai,24.45,83,1013,7.52
2022-10-29,Delhi,30.6,73,1017,1.57
2022-10-30,Bangalore,20.1,81,1006,4.05
2022-10-31,Chennai,16.59,88,1005,3.21
2022-11-01,Kolkata,33.9,63,1015,4.32
2022-11-02,Mumbai,32.7,72,1015,9.47
2022-11-03,Delhi,20.82,64,1015,3.81
2022-11-04,Bangalore,24.11,76,1018,5.25
2022-11-05,Chennai,23.36,58,1019,8.36
2022-11-06,Kolkata,19.1,41,1004,4.07
2022-11-07,Mumbai,35.52,57,1005,5.51
2022-11-08,Delhi,34.9,41,1005,4.56
2022-11-09,Bangalore,38.66,62,1019,3.23
2022-11-10,Chennai,16.47,48,1007,3.93
2022-11-11,Kolkata,34.12,85,1004,1.84
2022-11-12,Mumbai,15.41,83,1000,4.23
2022-11-13,Delhi,31.13,70,1003,4.24
2022-11-14,Bangalore,21.2,56,1008,0.66
2022-11-15,Chennai,23.21,45,1009,8.95
2022-11-16,Kolkata,17.98,54,1020,0.51
2022-11-17,Mumbai,34.04,80,1023,3.97
2022-11-18,Delhi,16.25,76,1018,2.96
2022-11-19,Bangalore,36.61,89,1000,8.15
2022-11-20,Chennai,17.77,88,1015,0.82
2022-11-21,Kolkata,36.81,62,1015,5.63
2022-11-22,Mumbai,24.75,68,1003,5.01
2022-11-23,Delhi,34.6,83,1007,4.32
2022-11-24,Bangalore,36.58,65,1021,9.81
2022-11-25,Chennai,33.82,88,1010,4.48
2022-11-26,Kolkata,28.21,53,1000,7.96
2022-11-27,Mumbai,27.69,74,1002,5.29
2022-11-28,Delhi,36.82,52,1011,3.24
2022-11-29,Bangalore,23.36,66,1000,8.21
2022-11-30,Chennai,37.35,48,1016,4.39
2022-12-01,Kolkata,33.5,45,1020,3.88
2022-12-02,Mumbai,26.23,41,1010,7.98
2022-12-03,Delhi,31.56,71,1015,9.66
2022-12-04,Bangalore,27.11,62,1020,6.64
2022-12-05,Chennai,19.15,79,1016,7.25
2022-12-06,Kolkata,16.68,46,1025,9.16
2022-12-07,Mumbai,30.63,40,1015,8.33
2022-12-08,Delhi,21.83,67,1006,1.92
2022-12-09,Bangalore,17.56,65,1020,6.96
2022-12-10,Chennai,35.48,70,1021,2.96
2022-12-11,Kolkata,26.47,87,1008,7.34
2022-12-12,Mumbai,34.02,55,1019,5.82
2022-12-13,Delhi,35.17,59,1008,3.52
2022-12-14,Bangalore,19.84,53,1021,3.73
2022-12-15,Chennai,36.34,80,1022,8.62
2022-12-16,Kolkata,36.19,68,1021,2.45
2022-12-17,Mumbai,27.47,42,1005,7.09
2022-12-18,Delhi,22.2,75,1019,5.91
2022-12-19,Bangalore,16.68,42,1007,6.31
2022-12-20,Chennai,31.61,61,1003,9.63
2022-12-21,Kolkata,23.89,82,1004,4.05
2022-12-22,Mumbai,21.35,68,1016,5.37
2022-12-23,Delhi,27.7,63,1020,1.43
2022-12-24,Bangalore,21.28,41,1014,9.64
2022-12-25,Chennai,27.73,64,1007,2.86
2022-12-26,Kolkata,25.98,69,1001,6.98
2022-12-27,Mumbai,39.17,76,1005,7.91
2022-12-28,Delhi,22.97,85,1011,2.18
2022-12-29,Bangalore,19.96,45,1015,5.61
2022-12-30,Chennai,18.78,79,1006,4.02
2022-12-31,Kolkata,37.0,44,1006,9.02
2023-01-01,Mumbai,29.35,45,1014,9.93
2023-01-02,Delhi,36.77,78,1021,1.27
2023-01-03,Bangalore,15.64,59,1002,9.89
2023-01-04,Chennai,16.44,47,1007,9.72
2023-01-05,Kolkata,20.45,80,1015,5.93
2023-01-06,Mumbai,18.35,61,1014,8.8
2023-01-07,Delhi,17.66,60,1007,5.23
2023-01-08,Bangalore,39.77,46,1023,3.3
2023-01-09,Chennai,30.99,70,1024,7.14
2023-01-10,Kolkata,23.31,54,1008,5.73
2023-01-11,Mumbai,39.75,48,1024,3.82
2023-01-12,Delhi,38.55,75,1018,4.88
2023-01-13,Bangalore,28.04,71,1022,4.12
2023-01-14,Chennai,33.21,56,1002,9.71
2023-01-15,Kolkata,27.81,47,1018,7.38
2023-01-16,Mumbai,27.5,53,1005,8.78
2023-01-17,Delhi,35.76,74,1001,1.36
2023-01-18,Bangalore,21.42,82,1018,3.92
2023-01-19,Chennai,23.76,67,1000,4.27
2023-01-20,Kolkata,20.45,60,1015,8.33
2023-01-21,Mumbai,26.38,69,1004,3.11
2023-01-22,Delhi,16.6,59,1022,7.62
2023-01-23,Bangalore,18.48,62,1009,9.37
2023-01-24,Chennai,26.5,51,1000,8.53
2023-01-25,Kolkata,21.75,73,1010,5.57
2023-01-26,Mumbai,35.19,64,1025,7.03
2023-01-27,Delhi,20.42,61,1017,9.96
2023-01-28,Bangalore,30.79,90,1010,9.85
2023-01-29,Chennai,31.44,47,1023,6.56
2023-01-30,Kolkata,27.72,70,1017,5.77
2023-01-31,Mumbai,31.98,87,1020,8.66
2023-02-01,Delhi,32.94,64,1002,8.19
2023-02-02,Bangalore,22.65,59,1021,3.7
2023-02-03,Chennai,35.69,71,1019,4.39
2023-02-04,Kolkata,25.12,55,1017,7.85
2023-02-05,Mumbai,15.13,64,1010,9.03
2023-02-06,Delhi,22.64,56,1006,0.8
2023-02-07,Bangalore,37.33,65,1023,6.75
2023-02-08,Chennai,15.8,55,1015,5.93
2023-02-09,Kolkata,23.38,70,1011,7.99
2023-02-10,Mumbai,37.13,88,1018,2.06
2023-02-11,Delhi,34.1,50,1018,7.06
2023-02-12,Bangalore,15.59,87,1021,4.01
2023-02-13,Chennai,16.49,73,1010,7.56
2023-02-14,Kolkata,38.92,52,1006,6.32
2023-02-15,Mumbai,29.93,71,1007,0.73
2023-02-16,Delhi,31.87,89,1005,1.14
2023-02-17,Bangalore,21.53,74,1018,1.38
2023-02-18,Chennai,39.94,46,1025,4.53
2023-02-19,Kolkata,29.48,64,1005,1.49
2023-02-20,Mumbai,29.13,67,1016,1.16
2023-02-21,Delhi,20.42,76,1003,3.04
2023-02-22,Bangalore,17.73,76,1018,4.62
2023-02-23,Chennai,22.89,49,1008,1.01
2023-02-24,Kolkata,23.1,40,1021,6.36
2023-02-25,Mumbai,27.76,81,1008,7.57
2023-02-26,Delhi,30.11,77,1000,4.51
2023-02-27,Bangalore,20.42,81,1001,1.51
2023-02-28,Chennai,19.32,66,1000,7.7
2023-03-01,Kolkata,23.24,41,1010,4.77
2023-03-02,Mumbai,28.85,83,1008,5.26
2023-03-03,Delhi,35.09,81,1000,9.52
2023-03-04,Bangalore,31.69,54,1022,3.39
2023-03-05,Chennai,23.99,82,1021,6.66
2023-03-06,Kolkata,26.49,68,1004,1.74
2023-03-07,Mumbai,38.43,57,1005,9.41
2023-03-08,Delhi,27.03,47,1007,2.22
2023-03-09,Bangalore,28.85,84,1019,2.03
2023-03-10,Chennai,17.68,40,1013,7.12
2023-03-11,Kolkata,32.19,84,1025,2.77
2023-03-12,Mumbai,36.88,89,1025,5.46
2023-03-13,Delhi,18.34,52,1006,1.64
2023-03-14,Bangalore,25.21,78,1003,6.08
2023-03-15,Chennai,36.39,73,1024,9.59
2023-03-16,Kolkata,15.46,48,1021,4.68
2023-03-17,Mumbai,15.41,64,1000,8.86
2023-03-18,Delhi,39.57,77,1022,4.32
2023-03-19,Bangalore,30.0,65,1008,2.85
2023-03-20,Chennai,32.6,42,1007,4.92
2023-03-21,Kolkata,17.67,59,1024,6.28
2023-03-22,Mumbai,36.13,66,1011,2.94
2023-03-23,Delhi,18.3,56,1010,2.9
2023-03-24,Bangalore,36.36,65,1001,3.23
2023-03-25,Chennai,29.6,54,1002,4.49
2023-03-26,Kolkata,18.18,81,1022,7.41
2023-03-27,Mumbai,31.36,50,1020,5.56
2023-03-28,Delhi,24.72,51,1018,8.86
2023-03-29,Bangalore,29.71,72,1006,5.13
2023-03-30,Chennai,19.35,65,1011,3.07
2023-03-31,Kolkata,32.98,42,1024,7.41
2023-04-01,Mumbai,35.4,49,1012,9.15
2023-04-02,Delhi,16.04,70,1023,9.37
2023-04-03,Bangalore,18.96,90,1019,4.37
2023-04-04,Chennai,30.97,74,1019,0.81
2023-04-05,Kolkata,20.41,58,1002,1.43
2023-04-06,Mumbai,23.96,66,1007,7.91
2023-04-07,Delhi,22.08,55,1022,3.88
2023-04-08,Bangalore,23.72,46,1008,8.65
2023-04-09,Chennai,30.25,68,1015,0.87
2023-04-10,Kolkata,36.88,54,1022,9.03
2023-04-11,Mumbai,25.29,40,1006,8.96
2023-04-12,Delhi,19.58,54,1019,6.45
2023-04-13,Bangalore,23.76,55,1007,3.01
2023-04-14,Chennai,19.08,90,1018,5.28
2023-04-15,Kolkata,22.8,64,1007,2.95
2023-04-16,Mumbai,31.13,71,1022,2.01
2023-04-17,Delhi,32.18,89,1007,8.63
2023-04-18,Bangalore,36.03,88,1003,8.69
2023-04-19,Chennai,24.94,57,1004,1.23
2023-04-20,Kolkata,38.14,48,1018,8.65
2023-04-21,Mumbai,28.75,66,1003,5.74
2023-04-22,Delhi,35.56,75,1002,1.26
2023-04-23,Bangalore,27.65,59,1012,8.61
2023-04-24,Chennai,23.43,50,1005,9.31
2023-04-25,Kolkata,39.78,42,1014,4.35
2023-04-26,Mumbai,30.54,89,1013,6.27
2023-04-27,Delhi,38.22,50,1011,8.39
2023-04-28,Bangalore,23.13,82,1014,5.59
2023-04-29,Chennai,32.05,73,1000,1.65
2023-04-30,Kolkata,20.42,80,1021,9.61
2023-05-01,Mumbai,25.86,68,1002,9.59
2023-05-02,Delhi,20.77,45,1006,7.47
2023-05-03,Bangalore,17.24,41,1025,7.76
2023-05-04,Chennai,27.44,64,1003,6.18
2023-05-05,Kolkata,23.79,66,1010,8.22
2023-05-06,Mumbai,30.18,63,1010,9.11
2023-05-07,Delhi,19.7,57,1014,5.27
2023-05-08,Bangalore,32.39,60,1001,2.61
2023-05-09,Chennai,21.16,56,1011,1.78
2023-05-10,Kolkata,38.19,58,1017,5.05
2023-05-11,Mumbai,19.09,85,1018,5.8
2023-05-12,Delhi,34.4,73,1018,4.4
2023-05-13,Bangalore,28.28,50,1017,9.98
2023-05-14,Chennai,37.21,78,1010,9.88
2023-05-15,Kolkata,18.25,71,1020,9.92
2023-05-16,Mumbai,16.1,68,1022,3.77
2023-05-17,Delhi,35.15,88,1002,9.16
2023-05-18,Bangalore,31.28,73,1022,7.71
2023-05-19,Chennai,37.12,88,1021,8.84
2023-05-20,Kolkata,25.42,61,1010,3.55
2023-05-21,Mumbai,27.74,40,1003,4.36
2023-05-22,Delhi,22.71,49,1004,6.56
2023-05-23,Bangalore,33.88,88,1000,3.44
2023-05-24,Chennai,33.3,55,1005,6.37
2023-05-25,Kolkata,19.5,80,1003,3.45
2023-05-26,Mumbai,39.75,84,1005,0.76
2023-05-27,Delhi,18.83,56,1014,9.27
2023-05-28,Bangalore,25.43,48,1001,5.89
2023-05-29,Chennai,29.44,72,1006,4.74
2023-05-30,Kolkata,29.88,61,1018,3.35
2023-05-31,Mumbai,39.88,42,1023,6.25
2023-06-01,Delhi,22.85,85,1021,2.0
2023-06-02,Bangalore,20.33,42,1010,5.14
2023-06-03,Chennai,16.28,45,1025,5.75
2023-06-04,Kolkata,21.22,84,1010,2.17
2023-06-05,Mumbai,37.59,89,1022,0.71
2023-06-06,Delhi,27.99,50,1015,9.76
2023-06-07,Bangalore,22.0,47,1021,6.64
2023-06-08,Chennai,25.09,56,1003,5.65
2023-06-09,Kolkata,18.08,49,1000,2.57
2023-06-10,Mumbai,39.83,66,1012,7.09
2023-06-11,Delhi,37.51,57,1005,0.59
2023-06-12,Bangalore,32.62,70,1018,2.9
2023-06-13,Chennai,22.81,46,1021,1.39
2023-06-14,Kolkata,15.04,45,1018,2.18
2023-06-15,Mumbai,31.05,45,1007,8.33
2023-06-16,Delhi,38.31,40,1011,6.93
2023-06-17,Bangalore,27.28,81,1016,7.15
2023-06-18,Chennai,21.73,62,1009,8.15
2023-06-19,Kolkata,17.39,83,1005,1.6
2023-06-20,Mumbai,24.71,74,1008,6.24
2023-06-21,Delhi,22.66,57,1001,0.72
2023-06-22,Bangalore,34.55,66,1023,3.26
2023-06-23,Chennai,32.61,72,1005,5.52
2023-06-24,Kolkata,22.37,74,1023,2.51
2023-06-25,Mumbai,21.03,89,1016,9.35
2023-06-26,Delhi,21.08,66,1017,7.67
2023-06-27,Bangalore,17.7,68,1003,2.41
2023-06-28,Chennai,39.21,82,1015,2.63
